Id,Label
0,0
1,0
2,0
3,2
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,2
15,0
16,0
17,2
18,0
19,0
20,0
21,0
22,0
23,1
24,1
25,2
26,1
27,2
28,0
29,0
30,2
31,0
32,1
33,2
34,0
35,2
36,1
37,0
38,1
39,0
40,2
41,2
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,2
50,1
51,1
52,0
53,2
54,0
55,1
56,1
57,1
58,2
59,1
60,0
61,2
62,0
63,1
64,0
65,1
66,0
67,0
68,2
69,0
70,2
71,1
72,2
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,2
81,0
82,2
83,0
84,0
85,2
86,0
87,0
88,0
89,2
90,0
91,1
92,2
93,2
94,0
95,2
96,2
97,0
98,1
99,2
100,1
101,1
102,0
103,2
104,1
105,0
106,1
107,2
108,1
109,1
110,1
111,2
112,1
113,1
114,1
115,0
116,1
117,2
118,0
119,2
120,2
121,1
122,2
123,0
124,0
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,2
134,2
135,0
136,2
137,2
138,2
139,2
140,0
141,2
142,1
143,0
144,2
145,2
146,0
147,2
148,1
149,0
150,0
151,1
152,2
153,1
154,2
155,2
156,2
157,0
158,0
159,1
160,2
161,2
162,2
163,0
164,1
165,1
166,1
167,1
168,2
169,1
170,2
171,0
172,0
173,2
174,1
175,2
176,2
177,0
178,1
179,0
180,0
181,0
182,2
183,1
184,1
185,1
186,1
187,2
188,1
189,2
190,2
191,1
192,1
193,0
194,0
195,1
196,1
197,2
198,0
199,2
200,0
201,0
202,2
203,0
204,1
205,1
206,2
207,0
208,1
209,0
210,0
211,1
212,1
213,2
214,0
215,0
216,0
217,0
218,1
219,1
220,2
221,2
222,2
223,1
224,2
225,2
226,0
227,2
228,1
229,0
230,2
231,2
232,2
233,0
234,2
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,2
243,1
244,0
245,2
246,2
247,1
248,1
249,0
250,0
251,1
252,2
253,2
254,2
255,2
256,1
257,2
258,1
259,0
260,0
261,2
262,0
263,2
264,2
265,0
266,2
267,1
268,2
269,2
270,0
271,2
272,1
273,1
274,1
275,1
276,0
277,2
278,1
279,0
280,0
281,1
282,0
283,1
284,0
285,1
286,2
287,2
288,1
289,0
290,1
291,2
292,1
293,0
294,2
295,0
296,1
297,0
298,1
299,0
300,1
301,1
302,1
303,2
304,0
305,0
306,1
307,0
308,0
309,2
310,1
311,2
312,1
313,0
314,0
315,1
316,2
317,1
318,2
319,1
320,1
321,0
322,2
323,0
324,2
325,0
326,0
327,2
328,1
329,0
330,0
331,1
332,0
333,0
334,0
335,2
336,2
337,1
338,2
339,0
340,2
341,1
342,1
343,2
344,1
345,1
346,2
347,0
348,0
349,1
350,2
351,1
352,0
353,1
354,2
355,1
356,2
357,2
358,2
359,1
360,1
361,0
362,1
363,2
364,2
365,2
366,2
367,1
368,0
369,1
370,2
371,1
372,2
373,0
374,1
375,2
376,0
377,2
378,1
379,1
380,2
381,0
382,0
383,2
384,2
385,0
386,0
387,2
388,1
389,2
390,0
391,1
392,0
393,0
394,1
395,1
396,0
397,0
398,2
399,0
400,0
401,1
402,1
403,0
404,1
405,0
406,0
407,1
408,2
409,2
410,2
411,2
412,2
413,0
414,2
415,0
416,1
417,0
418,1
419,2
420,0
421,2
422,0
423,0
424,1
425,0
426,1
427,1
428,1
429,0
430,1
431,0
432,2
433,1
434,2
435,0
436,2
437,2
438,1
439,1
440,0
441,2
442,2
443,1
444,2
445,2
446,0
447,1
448,2
449,2
450,1
451,1
452,1
453,1
454,1
455,0
456,0
457,1
458,0
459,2
460,0
461,2
462,2
463,0
464,1
465,2
466,1
467,2
468,2
469,1
470,1
471,2
472,1
473,0
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,1
482,2
483,2
484,0
485,2
486,2
487,0
488,1
489,2
490,1
491,0
492,2
493,1
494,1
495,0
496,1
497,1
498,1
499,2
500,2
501,0
502,1
503,0
504,0
505,1
506,2
507,2
508,2
509,1
510,0
511,2
512,2
513,1
514,0
515,2
516,1
517,0
518,2
519,2
520,1
521,0
522,2
523,2
524,1
525,2
526,0
527,0
528,2
529,2
530,1
531,1
532,2
533,2
534,0
535,0
536,0
537,1
538,2
539,1
540,2
541,2
542,1
543,1
544,2
545,1
546,0
547,2
548,0
549,2
550,1
551,1
552,0
553,2
554,1
555,1
556,0
557,0
558,0
559,0
560,2
561,0
562,1
563,1
564,2
565,1
566,1
567,1
568,2
569,2
570,0
571,0
572,1
573,2
574,2
575,0
576,1
577,1
578,0
579,2
580,2
581,1
582,0
583,1
584,2
585,0
586,1
587,1
588,2
589,0
590,0
591,1
592,2
593,2
594,0
595,0
596,1
597,1
598,2
599,0
600,2
601,0
602,1
603,2
604,2
605,0
606,0
607,1
608,1
609,2
610,0
611,0
612,0
613,1
614,1
615,1
616,0
617,0
618,2
619,0
620,2
621,1
622,2
623,2
624,2
625,2
626,0
627,2
628,1
629,1
630,2
631,1
632,1
633,0
634,2
635,1
636,0
637,1
638,0
639,0
