Id,Label
0,2
1,1
2,2
3,1
4,2
5,2
6,0
7,0
8,1
9,1
10,2
11,1
12,2
13,2
14,0
15,2
16,2
17,1
18,2
19,2
20,2
21,1
22,0
23,0
24,2
25,2
26,1
27,0
28,0
29,2
30,2
31,1
32,2
33,2
34,2
35,0
36,1
37,2
38,2
39,2
40,0
41,0
42,0
43,1
44,2
45,2
46,1
47,2
48,2
49,1
50,2
51,2
52,2
53,0
54,0
55,1
56,2
57,0
58,0
59,2
60,1
61,1
62,1
63,2
64,2
65,1
66,0
67,2
68,2
69,0
70,2
71,2
72,0
73,0
74,2
75,0
76,2
77,0
78,2
79,2
80,1
81,1
82,0
83,1
84,0
85,2
86,2
87,0
88,1
89,2
90,2
91,0
92,0
93,2
94,0
95,2
96,1
97,0
98,2
99,1
100,2
101,0
102,1
103,0
104,0
105,1
106,2
107,2
108,0
109,0
110,2
111,1
112,2
113,0
114,0
115,1
116,1
117,2
118,2
119,1
120,1
121,0
122,1
123,1
124,2
125,0
126,0
127,2
128,0
129,2
130,2
131,2
132,1
133,2
134,1
135,2
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,2
147,2
148,0
149,1
150,1
151,2
152,0
153,0
154,1
155,0
156,0
157,1
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,1
166,2
167,2
168,2
169,2
170,1
171,1
172,2
173,2
174,2
175,1
176,1
177,0
178,2
179,0
180,2
181,1
182,1
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,2
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,2
201,2
202,1
203,0
204,0
205,1
206,2
207,0
208,1
209,1
210,2
211,0
212,2
213,0
214,2
215,0
216,2
217,1
218,1
219,2
220,0
221,1
222,2
223,0
224,1
225,0
226,2
227,1
228,1
229,0
230,0
231,2
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,1
241,1
242,0
243,1
244,0
245,2
246,1
247,1
248,2
249,2
250,0
251,1
252,1
253,1
254,2
255,0
256,2
257,0
258,2
259,1
260,0
261,1
262,2
263,2
264,2
265,1
266,0
267,1
268,1
269,2
270,0
271,1
272,0
273,1
274,2
